timestamp,gpu_id,name,utilization_gpu_pct,utilization_mem_pct,memory_used_mib,memory_total_mib,temperature_gpu_c,power_draw_w
2026/03/25 18:47:26.740,1,NVIDIA GeForce RTX 4080,21,21,14149,16376,41,62.28
2026/03/25 18:47:56.791,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,37,68.56
2026/03/25 18:47:56.796,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,45,75.18
2026/03/25 18:48:26.845,0,NVIDIA GeForce RTX 4090,77,54,2520,24564,46,338.90
2026/03/25 18:48:26.852,1,NVIDIA GeForce RTX 4080,80,53,14149,16376,57,268.86
2026/03/25 18:48:56.895,0,NVIDIA GeForce RTX 4090,31,21,2520,24564,37,224.13
2026/03/25 18:48:56.900,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,41,60.29
2026/03/25 18:49:26.946,0,NVIDIA GeForce RTX 4090,63,43,2520,24564,46,320.69
2026/03/25 18:49:26.954,1,NVIDIA GeForce RTX 4080,59,42,14149,16376,50,194.69
2026/03/25 18:49:57.019,0,NVIDIA GeForce RTX 4090,67,47,2520,24564,45,306.10
2026/03/25 18:49:57.029,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,42,63.60
2026/03/25 18:50:27.070,0,NVIDIA GeForce RTX 4090,48,32,2520,24564,39,233.16
2026/03/25 18:50:27.074,1,NVIDIA GeForce RTX 4080,84,56,14149,16376,57,270.59
2026/03/25 18:50:57.130,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,40,211.32
2026/03/25 18:50:57.139,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,41,62.06
2026/03/25 18:51:27.190,0,NVIDIA GeForce RTX 4090,62,44,2520,24564,45,331.49
2026/03/25 18:51:27.197,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,42,72.45
2026/03/25 18:51:57.253,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,37,67.91
2026/03/25 18:51:57.259,1,NVIDIA GeForce RTX 4080,78,53,14149,16376,54,264.86
2026/03/25 18:52:27.310,0,NVIDIA GeForce RTX 4090,67,47,2520,24564,46,273.91
2026/03/25 18:52:27.319,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,41,60.97
2026/03/25 18:52:57.370,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,37,67.90
2026/03/25 18:52:57.376,1,NVIDIA GeForce RTX 4080,16,18,14149,16376,43,75.46
2026/03/25 18:53:27.413,0,NVIDIA GeForce RTX 4090,71,50,2520,24564,47,331.94
2026/03/25 18:53:27.420,1,NVIDIA GeForce RTX 4080,81,54,14149,16376,57,268.35
2026/03/25 18:53:57.474,0,NVIDIA GeForce RTX 4090,75,52,2520,24564,48,340.22
2026/03/25 18:53:57.485,1,NVIDIA GeForce RTX 4080,82,54,14149,16376,52,149.38
2026/03/25 18:54:27.564,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,38,80.19
