nohup: ignoring input
Device: cuda | Experiment: t_res feature | Events: 200000
Epoch 090 | Time: 107.5s | LR: 2.00e-04 | T-Loss: 0.1135 | V-Loss: 0.1127 | T-Prec: 0.7068 | V-Prec: 0.7097 | T-Rec: 0.5250 | V-Rec: 0.5296 | T-P@R0.9: 0.4253 | V-P@R0.9: 0.4276
Epoch 091 | Time: 106.5s | LR: 2.00e-04 | T-Loss: 0.1136 | V-Loss: 0.1129 | T-Prec: 0.6984 | V-Prec: 0.7006 | T-Rec: 0.5399 | V-Rec: 0.5445 | T-P@R0.9: 0.4267 | V-P@R0.9: 0.4289
Epoch 092 | Time: 107.0s | LR: 2.00e-04 | T-Loss: 0.1137 | V-Loss: 0.1129 | T-Prec: 0.7064 | V-Prec: 0.7089 | T-Rec: 0.5221 | V-Rec: 0.5257 | T-P@R0.9: 0.4255 | V-P@R0.9: 0.4287
Epoch 093 | Time: 107.6s | LR: 2.00e-04 | T-Loss: 0.1135 | V-Loss: 0.1128 | T-Prec: 0.6978 | V-Prec: 0.7012 | T-Rec: 0.5413 | V-Rec: 0.5457 | T-P@R0.9: 0.4265 | V-P@R0.9: 0.4296
Epoch 094 | Time: 107.7s | LR: 2.00e-04 | T-Loss: 0.1135 | V-Loss: 0.1128 | T-Prec: 0.6850 | V-Prec: 0.6864 | T-Rec: 0.5688 | V-Rec: 0.5719 | T-P@R0.9: 0.4268 | V-P@R0.9: 0.4288
Epoch 095 | Time: 107.6s | LR: 2.00e-04 | T-Loss: 0.1134 | V-Loss: 0.1127 | T-Prec: 0.6835 | V-Prec: 0.6850 | T-Rec: 0.5749 | V-Rec: 0.5778 | T-P@R0.9: 0.4262 | V-P@R0.9: 0.4286
Epoch 096 | Time: 107.4s | LR: 2.00e-04 | T-Loss: 0.1133 | V-Loss: 0.1127 | T-Prec: 0.7096 | V-Prec: 0.7113 | T-Rec: 0.5246 | V-Rec: 0.5286 | T-P@R0.9: 0.4271 | V-P@R0.9: 0.4289
Epoch 097 | Time: 107.4s | LR: 2.00e-04 | T-Loss: 0.1132 | V-Loss: 0.1125 | T-Prec: 0.6819 | V-Prec: 0.6830 | T-Rec: 0.5783 | V-Rec: 0.5806 | T-P@R0.9: 0.4275 | V-P@R0.9: 0.4294
Epoch 098 | Time: 106.1s | LR: 2.00e-04 | T-Loss: 0.1134 | V-Loss: 0.1128 | T-Prec: 0.7092 | V-Prec: 0.7117 | T-Rec: 0.5260 | V-Rec: 0.5295 | T-P@R0.9: 0.4260 | V-P@R0.9: 0.4287
Epoch 099 | Time: 106.7s | LR: 2.00e-04 | T-Loss: 0.1129 | V-Loss: 0.1122 | T-Prec: 0.7045 | V-Prec: 0.7065 | T-Rec: 0.5385 | V-Rec: 0.5419 | T-P@R0.9: 0.4270 | V-P@R0.9: 0.4295
Epoch 100 | Time: 107.7s | LR: 2.00e-04 | T-Loss: 0.1132 | V-Loss: 0.1124 | T-Prec: 0.7018 | V-Prec: 0.7035 | T-Rec: 0.5416 | V-Rec: 0.5449 | T-P@R0.9: 0.4270 | V-P@R0.9: 0.4297
