nohup: ignoring input
Device: cuda | Experiment: Extended Features (9) | Events: 200000
Epoch 076 | Time: 113.4s | LR: 2.00e-04 | T-Loss: 0.1132 | V-Loss: 0.1126 | T-P@R0.9: 0.4260 | V-P@R0.9: 0.4278
Epoch 077 | Time: 114.1s | LR: 2.00e-04 | T-Loss: 0.1130 | V-Loss: 0.1123 | T-P@R0.9: 0.4258 | V-P@R0.9: 0.4280
Epoch 078 | Time: 113.9s | LR: 2.00e-04 | T-Loss: 0.1128 | V-Loss: 0.1122 | T-P@R0.9: 0.4281 | V-P@R0.9: 0.4297
Epoch 079 | Time: 114.0s | LR: 2.00e-04 | T-Loss: 0.1133 | V-Loss: 0.1128 | T-P@R0.9: 0.4254 | V-P@R0.9: 0.4274
Epoch 080 | Time: 113.9s | LR: 2.00e-04 | T-Loss: 0.1130 | V-Loss: 0.1124 | T-P@R0.9: 0.4284 | V-P@R0.9: 0.4301
Epoch 081 | Time: 113.5s | LR: 2.00e-04 | T-Loss: 0.1125 | V-Loss: 0.1118 | T-P@R0.9: 0.4296 | V-P@R0.9: 0.4314
Epoch 082 | Time: 113.6s | LR: 2.00e-04 | T-Loss: 0.1125 | V-Loss: 0.1118 | T-P@R0.9: 0.4293 | V-P@R0.9: 0.4312
Epoch 083 | Time: 113.1s | LR: 2.00e-04 | T-Loss: 0.1127 | V-Loss: 0.1121 | T-P@R0.9: 0.4290 | V-P@R0.9: 0.4305
Epoch 084 | Time: 112.8s | LR: 2.00e-04 | T-Loss: 0.1126 | V-Loss: 0.1118 | T-P@R0.9: 0.4286 | V-P@R0.9: 0.4314
Epoch 085 | Time: 113.5s | LR: 2.00e-04 | T-Loss: 0.1124 | V-Loss: 0.1118 | T-P@R0.9: 0.4298 | V-P@R0.9: 0.4324
Epoch 086 | Time: 112.7s | LR: 2.00e-04 | T-Loss: 0.1123 | V-Loss: 0.1117 | T-P@R0.9: 0.4295 | V-P@R0.9: 0.4315
Epoch 087 | Time: 113.5s | LR: 2.00e-04 | T-Loss: 0.1121 | V-Loss: 0.1115 | T-P@R0.9: 0.4303 | V-P@R0.9: 0.4319
Epoch 088 | Time: 112.6s | LR: 2.00e-04 | T-Loss: 0.1121 | V-Loss: 0.1114 | T-P@R0.9: 0.4294 | V-P@R0.9: 0.4322
