Device: cuda | MLP-BYPASS STUDY | GCN 5Layer
Epoch 0045 | Time: 45.8s | T-Loss: 0.0685 | V-Loss: 0.0658 | T-Prec: 0.8860 | V-Prec: 0.8590 | T-Rec: 0.7677 | V-Rec: 0.7254 | T-P@R0.9: 0.6772 | V-P@R0.9: 0.5334
Epoch 0046 | Time: 47.9s | T-Loss: 0.0696 | V-Loss: 0.0670 | T-Prec: 0.8701 | V-Prec: 0.8412 | T-Rec: 0.7815 | V-Rec: 0.7406 | T-P@R0.9: 0.6628 | V-P@R0.9: 0.5241
Epoch 0047 | Time: 45.2s | T-Loss: 0.0695 | V-Loss: 0.0656 | T-Prec: 0.8780 | V-Prec: 0.8528 | T-Rec: 0.7754 | V-Rec: 0.7367 | T-P@R0.9: 0.6631 | V-P@R0.9: 0.5316
Epoch 0048 | Time: 43.4s | T-Loss: 0.0678 | V-Loss: 0.0648 | T-Prec: 0.8797 | V-Prec: 0.8532 | T-Rec: 0.7838 | V-Rec: 0.7437 | T-P@R0.9: 0.6796 | V-P@R0.9: 0.5405
Epoch 0049 | Time: 45.4s | T-Loss: 0.0694 | V-Loss: 0.0647 | T-Prec: 0.8793 | V-Prec: 0.8543 | T-Rec: 0.7827 | V-Rec: 0.7390 | T-P@R0.9: 0.6900 | V-P@R0.9: 0.5445
Epoch 0050 | Time: 44.4s | T-Loss: 0.0686 | V-Loss: 0.0648 | T-Prec: 0.8902 | V-Prec: 0.8649 | T-Rec: 0.7653 | V-Rec: 0.7242 | T-P@R0.9: 0.6809 | V-P@R0.9: 0.5495
Epoch 0051 | Time: 49.5s | T-Loss: 0.0695 | V-Loss: 0.0651 | T-Prec: 0.8752 | V-Prec: 0.8465 | T-Rec: 0.7984 | V-Rec: 0.7488 | T-P@R0.9: 0.6988 | V-P@R0.9: 0.5377
Epoch 0052 | Time: 47.4s | T-Loss: 0.0664 | V-Loss: 0.0659 | T-Prec: 0.8548 | V-Prec: 0.8296 | T-Rec: 0.7969 | V-Rec: 0.7638 | T-P@R0.9: 0.6543 | V-P@R0.9: 0.5382
Epoch 0053 | Time: 44.6s | T-Loss: 0.0715 | V-Loss: 0.0651 | T-Prec: 0.8914 | V-Prec: 0.8632 | T-Rec: 0.7793 | V-Rec: 0.7307 | T-P@R0.9: 0.7001 | V-P@R0.9: 0.5385
Epoch 0054 | Time: 45.4s | T-Loss: 0.0660 | V-Loss: 0.0644 | T-Prec: 0.8752 | V-Prec: 0.8522 | T-Rec: 0.7872 | V-Rec: 0.7471 | T-P@R0.9: 0.6685 | V-P@R0.9: 0.5482
Epoch 0055 | Time: 48.8s | T-Loss: 0.0682 | V-Loss: 0.0642 | T-Prec: 0.8875 | V-Prec: 0.8612 | T-Rec: 0.7776 | V-Rec: 0.7352 | T-P@R0.9: 0.6902 | V-P@R0.9: 0.5511
Epoch 0056 | Time: 45.9s | T-Loss: 0.0664 | V-Loss: 0.0648 | T-Prec: 0.8624 | V-Prec: 0.8336 | T-Rec: 0.8091 | V-Rec: 0.7672 | T-P@R0.9: 0.6981 | V-P@R0.9: 0.5586
Epoch 0057 | Time: 45.9s | T-Loss: 0.0666 | V-Loss: 0.0637 | T-Prec: 0.8757 | V-Prec: 0.8522 | T-Rec: 0.7895 | V-Rec: 0.7511 | T-P@R0.9: 0.6864 | V-P@R0.9: 0.5586
Epoch 0058 | Time: 46.4s | T-Loss: 0.0667 | V-Loss: 0.0645 | T-Prec: 0.8845 | V-Prec: 0.8617 | T-Rec: 0.7771 | V-Rec: 0.7370 | T-P@R0.9: 0.6684 | V-P@R0.9: 0.5417
Epoch 0059 | Time: 45.5s | T-Loss: 0.0679 | V-Loss: 0.0641 | T-Prec: 0.8758 | V-Prec: 0.8473 | T-Rec: 0.7945 | V-Rec: 0.7580 | T-P@R0.9: 0.6858 | V-P@R0.9: 0.5496
Epoch 0060 | Time: 46.9s | T-Loss: 0.0664 | V-Loss: 0.0639 | T-Prec: 0.8797 | V-Prec: 0.8558 | T-Rec: 0.7932 | V-Rec: 0.7491 | T-P@R0.9: 0.6880 | V-P@R0.9: 0.5447
Epoch 0061 | Time: 47.2s | T-Loss: 0.0658 | V-Loss: 0.0639 | T-Prec: 0.8791 | V-Prec: 0.8559 | T-Rec: 0.7803 | V-Rec: 0.7438 | T-P@R0.9: 0.6728 | V-P@R0.9: 0.5543
Epoch 0062 | Time: 46.3s | T-Loss: 0.0669 | V-Loss: 0.0641 | T-Prec: 0.8702 | V-Prec: 0.8393 | T-Rec: 0.8111 | V-Rec: 0.7668 | T-P@R0.9: 0.7105 | V-P@R0.9: 0.5618
Epoch 0063 | Time: 48.3s | T-Loss: 0.0659 | V-Loss: 0.0642 | T-Prec: 0.8890 | V-Prec: 0.8639 | T-Rec: 0.7747 | V-Rec: 0.7359 | T-P@R0.9: 0.6835 | V-P@R0.9: 0.5495
Epoch 0064 | Time: 47.1s | T-Loss: 0.0667 | V-Loss: 0.0633 | T-Prec: 0.8847 | V-Prec: 0.8562 | T-Rec: 0.7903 | V-Rec: 0.7498 | T-P@R0.9: 0.7060 | V-P@R0.9: 0.5620
Epoch 0065 | Time: 45.6s | T-Loss: 0.0651 | V-Loss: 0.0636 | T-Prec: 0.8701 | V-Prec: 0.8485 | T-Rec: 0.7929 | V-Rec: 0.7587 | T-P@R0.9: 0.6725 | V-P@R0.9: 0.5573
Epoch 0066 | Time: 46.7s | T-Loss: 0.0656 | V-Loss: 0.0639 | T-Prec: 0.8685 | V-Prec: 0.8430 | T-Rec: 0.7957 | V-Rec: 0.7641 | T-P@R0.9: 0.6772 | V-P@R0.9: 0.5616
Epoch 0067 | Time: 48.6s | T-Loss: 0.0681 | V-Loss: 0.0630 | T-Prec: 0.8737 | V-Prec: 0.8476 | T-Rec: 0.7970 | V-Rec: 0.7625 | T-P@R0.9: 0.6907 | V-P@R0.9: 0.5681
Epoch 0068 | Time: 46.7s | T-Loss: 0.0682 | V-Loss: 0.0632 | T-Prec: 0.8703 | V-Prec: 0.8396 | T-Rec: 0.8110 | V-Rec: 0.7705 | T-P@R0.9: 0.7189 | V-P@R0.9: 0.5741
Epoch 0069 | Time: 47.0s | T-Loss: 0.0671 | V-Loss: 0.0635 | T-Prec: 0.8821 | V-Prec: 0.8546 | T-Rec: 0.7909 | V-Rec: 0.7505 | T-P@R0.9: 0.7043 | V-P@R0.9: 0.5626
Epoch 0070 | Time: 47.3s | T-Loss: 0.0658 | V-Loss: 0.0627 | T-Prec: 0.8801 | V-Prec: 0.8555 | T-Rec: 0.7909 | V-Rec: 0.7549 | T-P@R0.9: 0.6966 | V-P@R0.9: 0.5758
Epoch 0071 | Time: 48.8s | T-Loss: 0.0675 | V-Loss: 0.0629 | T-Prec: 0.8785 | V-Prec: 0.8500 | T-Rec: 0.7965 | V-Rec: 0.7608 | T-P@R0.9: 0.7004 | V-P@R0.9: 0.5687
Epoch 0072 | Time: 46.7s | T-Loss: 0.0676 | V-Loss: 0.0626 | T-Prec: 0.8923 | V-Prec: 0.8613 | T-Rec: 0.7951 | V-Rec: 0.7467 | T-P@R0.9: 0.7316 | V-P@R0.9: 0.5724
