Timestamp, GPU_ID, Temp, Power, Usage, Mem_Used
2026/03/19 05:14:02.061, 1, 40, 32.99, 0, 2
2026/03/19 05:14:14.175, 0, 44, 26.81, 0, 2
2026/03/19 05:14:14.181, 1, 40, 32.76, 0, 2
2026/03/19 05:14:32.118, 0, 44, 26.49, 0, 2
2026/03/19 05:14:32.124, 1, 40, 32.46, 0, 2
2026/03/19 05:14:44.236, 0, 44, 26.17, 0, 2
2026/03/19 05:14:44.243, 1, 40, 32.72, 0, 2
2026/03/19 05:15:02.180, 0, 44, 26.31, 0, 2
2026/03/19 05:15:02.187, 1, 40, 32.80, 0, 2
2026/03/19 05:15:14.297, 0, 44, 26.57, 0, 2
2026/03/19 05:15:14.304, 1, 40, 32.28, 0, 2
2026/03/19 05:15:32.242, 0, 44, 25.93, 0, 2
2026/03/19 05:15:32.249, 1, 40, 32.56, 0, 2
2026/03/19 05:15:44.359, 0, 44, 26.19, 0, 2
2026/03/19 05:15:44.366, 1, 40, 32.89, 0, 2
2026/03/19 05:16:02.304, 0, 44, 26.32, 0, 2
2026/03/19 05:16:02.311, 1, 40, 33.31, 0, 2
2026/03/19 05:16:14.421, 0, 44, 26.70, 0, 2
2026/03/19 05:16:14.428, 1, 40, 32.82, 0, 2
2026/03/19 05:16:32.364, 0, 44, 26.54, 0, 2
2026/03/19 05:16:32.371, 1, 40, 33.32, 0, 2
2026/03/19 05:16:44.482, 0, 44, 26.63, 0, 2
2026/03/19 05:16:44.489, 1, 40, 33.03, 0, 2
2026/03/19 05:17:02.425, 0, 44, 26.10, 0, 2
2026/03/19 05:17:02.432, 1, 40, 32.70, 0, 2
2026/03/19 05:17:14.545, 0, 44, 26.54, 0, 2
2026/03/19 05:17:14.552, 1, 40, 32.21, 0, 2
2026/03/19 05:17:32.487, 0, 44, 26.08, 0, 2
2026/03/19 05:17:32.494, 1, 40, 32.43, 0, 2
2026/03/19 05:17:44.607, 0, 44, 26.20, 0, 2
2026/03/19 05:17:44.614, 1, 40, 32.70, 0, 2
2026/03/19 05:18:02.551, 0, 44, 26.22, 0, 2
2026/03/19 05:18:02.558, 1, 40, 32.44, 0, 2
2026/03/19 05:18:14.668, 0, 44, 26.14, 0, 2
2026/03/19 05:18:14.675, 1, 40, 32.87, 0, 2
2026/03/19 05:18:32.613, 0, 44, 25.78, 0, 2
2026/03/19 05:18:32.620, 1, 40, 32.08, 0, 2
2026/03/19 05:18:44.731, 0, 44, 25.84, 0, 2
2026/03/19 05:18:44.738, 1, 40, 33.11, 0, 2
2026/03/19 05:19:02.675, 0, 44, 26.01, 0, 2
2026/03/19 05:19:02.682, 1, 40, 31.62, 0, 2
2026/03/19 05:19:14.794, 0, 44, 26.19, 0, 2
2026/03/19 05:19:14.801, 1, 40, 31.70, 0, 2
2026/03/19 05:19:32.738, 0, 44, 26.29, 0, 2
2026/03/19 05:19:32.746, 1, 40, 33.19, 0, 2
2026/03/19 05:19:44.855, 0, 44, 26.31, 0, 2
2026/03/19 05:19:44.862, 1, 40, 32.26, 0, 2
2026/03/19 05:20:02.801, 0, 44, 26.32, 0, 2
2026/03/19 05:20:02.808, 1, 40, 31.86, 0, 2
2026/03/19 05:20:14.917, 0, 44, 26.16, 0, 2
2026/03/19 05:20:14.925, 1, 40, 30.97, 0, 2
2026/03/19 05:20:32.864, 0, 44, 26.41, 0, 2
2026/03/19 05:20:32.871, 1, 40, 31.62, 0, 2
2026/03/19 05:20:44.980, 0, 44, 26.18, 0, 2
2026/03/19 05:20:44.988, 1, 40, 32.61, 0, 2
2026/03/19 05:21:02.926, 0, 44, 26.56, 0, 2
2026/03/19 05:21:02.934, 1, 40, 31.92, 0, 2
2026/03/19 05:21:15.044, 0, 44, 26.66, 0, 2
2026/03/19 05:21:15.051, 1, 40, 31.99, 0, 2
2026/03/19 05:21:32.990, 0, 44, 26.18, 0, 2
2026/03/19 05:21:32.998, 1, 40, 32.46, 0, 2
2026/03/19 05:21:45.107, 0, 44, 26.55, 0, 2
2026/03/19 05:21:45.114, 1, 40, 32.59, 0, 2
2026/03/19 05:22:03.053, 0, 44, 26.42, 0, 2
2026/03/19 05:22:03.061, 1, 40, 31.89, 0, 2
2026/03/19 05:22:15.170, 0, 44, 26.55, 0, 2
2026/03/19 05:22:15.178, 1, 40, 31.66, 0, 2
2026/03/19 05:22:33.116, 0, 44, 26.58, 0, 2
2026/03/19 05:22:33.123, 1, 40, 32.53, 0, 2
2026/03/19 05:22:45.235, 0, 44, 26.61, 0, 2
2026/03/19 05:22:45.243, 1, 40, 31.57, 0, 2
2026/03/19 05:23:03.179, 0, 44, 26.15, 0, 2
2026/03/19 05:23:03.187, 1, 40, 31.21, 0, 2
2026/03/19 05:23:15.298, 0, 44, 26.31, 0, 2
2026/03/19 05:23:15.306, 1, 40, 32.89, 0, 2
2026/03/19 05:23:33.244, 0, 44, 26.09, 0, 2
2026/03/19 05:23:33.249, 1, 40, 31.60, 0, 2
2026/03/19 05:23:45.360, 0, 44, 26.10, 0, 2
2026/03/19 05:23:45.365, 1, 40, 32.34, 0, 2
2026/03/19 05:24:03.305, 0, 44, 26.14, 0, 2
2026/03/19 05:24:03.311, 1, 40, 31.85, 0, 2
2026/03/19 05:24:15.421, 0, 44, 26.41, 0, 2
2026/03/19 05:24:15.427, 1, 40, 31.95, 0, 2
2026/03/19 05:24:33.368, 0, 44, 26.04, 0, 2
2026/03/19 05:24:33.373, 1, 40, 31.11, 0, 2
2026/03/19 05:24:45.483, 0, 44, 26.44, 0, 2
2026/03/19 05:24:45.489, 1, 40, 32.44, 0, 2
2026/03/19 05:25:03.428, 0, 44, 26.26, 0, 2
2026/03/19 05:25:03.434, 1, 40, 31.76, 0, 2
2026/03/19 05:25:15.543, 0, 44, 26.18, 0, 2
2026/03/19 05:25:15.548, 1, 40, 31.91, 0, 2
2026/03/19 05:25:33.487, 0, 44, 26.43, 0, 2
2026/03/19 05:25:33.493, 1, 40, 32.50, 0, 2
2026/03/19 05:25:45.602, 0, 44, 26.45, 0, 2
2026/03/19 05:25:45.608, 1, 40, 32.56, 0, 2
2026/03/19 05:26:03.546, 0, 44, 26.33, 0, 2
