Starting OVERFIT experiment: 200000 events, 300 epochs, k=2
Epoch 099 | T-Loss: 0.1280 | V-Loss: 0.1276 | T-Prec: 0.6620 | V-Prec: 0.6641 | T-Rec: 0.4500 | V-Rec: 0.4567 | T-P@R0.9: 0.3553 | V-P@R0.9: 0.3602
Epoch 100 | T-Loss: 0.1280 | V-Loss: 0.1276 | T-Prec: 0.6573 | V-Prec: 0.6606 | T-Rec: 0.4606 | V-Rec: 0.4680 | T-P@R0.9: 0.3560 | V-P@R0.9: 0.3616
Epoch 101 | T-Loss: 0.1278 | V-Loss: 0.1274 | T-Prec: 0.6611 | V-Prec: 0.6632 | T-Rec: 0.4521 | V-Rec: 0.4587 | T-P@R0.9: 0.3562 | V-P@R0.9: 0.3608
Epoch 102 | T-Loss: 0.1280 | V-Loss: 0.1276 | T-Prec: 0.6669 | V-Prec: 0.6693 | T-Rec: 0.4407 | V-Rec: 0.4480 | T-P@R0.9: 0.3565 | V-P@R0.9: 0.3602
Epoch 103 | T-Loss: 0.1278 | V-Loss: 0.1274 | T-Prec: 0.6554 | V-Prec: 0.6581 | T-Rec: 0.4677 | V-Rec: 0.4741 | T-P@R0.9: 0.3570 | V-P@R0.9: 0.3617
Epoch 104 | T-Loss: 0.1278 | V-Loss: 0.1274 | T-Prec: 0.6602 | V-Prec: 0.6627 | T-Rec: 0.4558 | V-Rec: 0.4629 | T-P@R0.9: 0.3562 | V-P@R0.9: 0.3620
Epoch 105 | T-Loss: 0.1280 | V-Loss: 0.1276 | T-Prec: 0.6681 | V-Prec: 0.6709 | T-Rec: 0.4363 | V-Rec: 0.4438 | T-P@R0.9: 0.3561 | V-P@R0.9: 0.3606
Epoch 106 | T-Loss: 0.1277 | V-Loss: 0.1273 | T-Prec: 0.6612 | V-Prec: 0.6639 | T-Rec: 0.4542 | V-Rec: 0.4612 | T-P@R0.9: 0.3571 | V-P@R0.9: 0.3616
Epoch 107 | T-Loss: 0.1277 | V-Loss: 0.1273 | T-Prec: 0.6582 | V-Prec: 0.6602 | T-Rec: 0.4625 | V-Rec: 0.4692 | T-P@R0.9: 0.3572 | V-P@R0.9: 0.3610
Epoch 108 | T-Loss: 0.1279 | V-Loss: 0.1275 | T-Prec: 0.6533 | V-Prec: 0.6556 | T-Rec: 0.4725 | V-Rec: 0.4789 | T-P@R0.9: 0.3558 | V-P@R0.9: 0.3610
Epoch 109 | T-Loss: 0.1278 | V-Loss: 0.1274 | T-Prec: 0.6562 | V-Prec: 0.6584 | T-Rec: 0.4656 | V-Rec: 0.4716 | T-P@R0.9: 0.3568 | V-P@R0.9: 0.3618
Epoch 110 | T-Loss: 0.1277 | V-Loss: 0.1273 | T-Prec: 0.6597 | V-Prec: 0.6626 | T-Rec: 0.4572 | V-Rec: 0.4640 | T-P@R0.9: 0.3575 | V-P@R0.9: 0.3618
Epoch 111 | T-Loss: 0.1277 | V-Loss: 0.1274 | T-Prec: 0.6680 | V-Prec: 0.6702 | T-Rec: 0.4376 | V-Rec: 0.4450 | T-P@R0.9: 0.3567 | V-P@R0.9: 0.3621
Epoch 112 | T-Loss: 0.1276 | V-Loss: 0.1273 | T-Prec: 0.6626 | V-Prec: 0.6651 | T-Rec: 0.4530 | V-Rec: 0.4594 | T-P@R0.9: 0.3568 | V-P@R0.9: 0.3615
Epoch 113 | T-Loss: 0.1281 | V-Loss: 0.1278 | T-Prec: 0.6673 | V-Prec: 0.6699 | T-Rec: 0.4393 | V-Rec: 0.4467 | T-P@R0.9: 0.3566 | V-P@R0.9: 0.3620
Epoch 114 | T-Loss: 0.1278 | V-Loss: 0.1275 | T-Prec: 0.6571 | V-Prec: 0.6592 | T-Rec: 0.4628 | V-Rec: 0.4692 | T-P@R0.9: 0.3563 | V-P@R0.9: 0.3611
Epoch 115 | T-Loss: 0.1277 | V-Loss: 0.1273 | T-Prec: 0.6567 | V-Prec: 0.6599 | T-Rec: 0.4654 | V-Rec: 0.4716 | T-P@R0.9: 0.3579 | V-P@R0.9: 0.3629
Epoch 116 | T-Loss: 0.1276 | V-Loss: 0.1272 | T-Prec: 0.6581 | V-Prec: 0.6601 | T-Rec: 0.4647 | V-Rec: 0.4707 | T-P@R0.9: 0.3568 | V-P@R0.9: 0.3625
Epoch 117 | T-Loss: 0.1276 | V-Loss: 0.1272 | T-Prec: 0.6642 | V-Prec: 0.6671 | T-Rec: 0.4489 | V-Rec: 0.4559 | T-P@R0.9: 0.3574 | V-P@R0.9: 0.3615
Epoch 118 | T-Loss: 0.1278 | V-Loss: 0.1275 | T-Prec: 0.6545 | V-Prec: 0.6568 | T-Rec: 0.4712 | V-Rec: 0.4786 | T-P@R0.9: 0.3563 | V-P@R0.9: 0.3615
