nohup: ignoring input
Device: cuda | Experiment: Deep & Wide LONG | Events: 300000
Epoch 162 | T-Loss: 0.1190 | V-Loss: 0.1191 | V-P@R0.9: 0.3797
Epoch 163 | T-Loss: 0.1196 | V-Loss: 0.1197 | V-P@R0.9: 0.3790
Epoch 164 | T-Loss: 0.1190 | V-Loss: 0.1192 | V-P@R0.9: 0.3807
Epoch 165 | T-Loss: 0.1192 | V-Loss: 0.1194 | V-P@R0.9: 0.3787
Epoch 166 | T-Loss: 0.1192 | V-Loss: 0.1193 | V-P@R0.9: 0.3808
Epoch 167 | T-Loss: 0.1188 | V-Loss: 0.1190 | V-P@R0.9: 0.3808
Epoch 168 | T-Loss: 0.1191 | V-Loss: 0.1193 | V-P@R0.9: 0.3802
Epoch 169 | T-Loss: 0.1187 | V-Loss: 0.1188 | V-P@R0.9: 0.3820
Epoch 170 | T-Loss: 0.1190 | V-Loss: 0.1192 | V-P@R0.9: 0.3793
Epoch 171 | T-Loss: 0.1188 | V-Loss: 0.1190 | V-P@R0.9: 0.3804
Epoch 172 | T-Loss: 0.1188 | V-Loss: 0.1190 | V-P@R0.9: 0.3816
Epoch 173 | T-Loss: 0.1192 | V-Loss: 0.1195 | V-P@R0.9: 0.3803
Epoch 174 | T-Loss: 0.1185 | V-Loss: 0.1187 | V-P@R0.9: 0.3815
Epoch 175 | T-Loss: 0.1186 | V-Loss: 0.1188 | V-P@R0.9: 0.3832
Epoch 176 | T-Loss: 0.1187 | V-Loss: 0.1190 | V-P@R0.9: 0.3812
Epoch 177 | T-Loss: 0.1192 | V-Loss: 0.1195 | V-P@R0.9: 0.3789
Epoch 178 | T-Loss: 0.1194 | V-Loss: 0.1197 | V-P@R0.9: 0.3789
Epoch 179 | T-Loss: 0.1185 | V-Loss: 0.1187 | V-P@R0.9: 0.3796
Epoch 180 | T-Loss: 0.1185 | V-Loss: 0.1188 | V-P@R0.9: 0.3821
Epoch 181 | T-Loss: 0.1188 | V-Loss: 0.1190 | V-P@R0.9: 0.3776
Epoch 182 | T-Loss: 0.1186 | V-Loss: 0.1188 | V-P@R0.9: 0.3817
Epoch 183 | T-Loss: 0.1183 | V-Loss: 0.1186 | V-P@R0.9: 0.3824
Epoch 184 | T-Loss: 0.1186 | V-Loss: 0.1188 | V-P@R0.9: 0.3810
Epoch 185 | T-Loss: 0.1183 | V-Loss: 0.1186 | V-P@R0.9: 0.3826
Epoch 186 | T-Loss: 0.1181 | V-Loss: 0.1184 | V-P@R0.9: 0.3832
Epoch 187 | T-Loss: 0.1181 | V-Loss: 0.1183 | V-P@R0.9: 0.3826
Epoch 188 | T-Loss: 0.1187 | V-Loss: 0.1189 | V-P@R0.9: 0.3818
Epoch 189 | T-Loss: 0.1181 | V-Loss: 0.1184 | V-P@R0.9: 0.3813
Epoch 190 | T-Loss: 0.1181 | V-Loss: 0.1184 | V-P@R0.9: 0.3818
Epoch 191 | T-Loss: 0.1181 | V-Loss: 0.1185 | V-P@R0.9: 0.3812
Epoch 192 | T-Loss: 0.1183 | V-Loss: 0.1186 | V-P@R0.9: 0.3845
Epoch 193 | T-Loss: 0.1189 | V-Loss: 0.1192 | V-P@R0.9: 0.3831
Epoch 194 | T-Loss: 0.1180 | V-Loss: 0.1185 | V-P@R0.9: 0.3831
Epoch 195 | T-Loss: 0.1179 | V-Loss: 0.1182 | V-P@R0.9: 0.3828
Epoch 196 | T-Loss: 0.1180 | V-Loss: 0.1183 | V-P@R0.9: 0.3826
Epoch 197 | T-Loss: 0.1178 | V-Loss: 0.1182 | V-P@R0.9: 0.3834
Epoch 198 | T-Loss: 0.1182 | V-Loss: 0.1186 | V-P@R0.9: 0.3807
Epoch 199 | T-Loss: 0.1180 | V-Loss: 0.1183 | V-P@R0.9: 0.3839
Epoch 200 | T-Loss: 0.1178 | V-Loss: 0.1182 | V-P@R0.9: 0.3819
Epoch 201 | T-Loss: 0.1180 | V-Loss: 0.1184 | V-P@R0.9: 0.3816
Epoch 202 | T-Loss: 0.1177 | V-Loss: 0.1181 | V-P@R0.9: 0.3830
Epoch 203 | T-Loss: 0.1179 | V-Loss: 0.1182 | V-P@R0.9: 0.3833
Epoch 204 | T-Loss: 0.1180 | V-Loss: 0.1184 | V-P@R0.9: 0.3811
Epoch 205 | T-Loss: 0.1178 | V-Loss: 0.1182 | V-P@R0.9: 0.3837
Epoch 206 | T-Loss: 0.1177 | V-Loss: 0.1181 | V-P@R0.9: 0.3818
Epoch 207 | T-Loss: 0.1177 | V-Loss: 0.1180 | V-P@R0.9: 0.3845
Epoch 208 | T-Loss: 0.1178 | V-Loss: 0.1182 | V-P@R0.9: 0.3831
Epoch 209 | T-Loss: 0.1178 | V-Loss: 0.1181 | V-P@R0.9: 0.3829
Epoch 210 | T-Loss: 0.1186 | V-Loss: 0.1191 | V-P@R0.9: 0.3808
Epoch 211 | T-Loss: 0.1178 | V-Loss: 0.1182 | V-P@R0.9: 0.3807
Epoch 212 | T-Loss: 0.1176 | V-Loss: 0.1180 | V-P@R0.9: 0.3829
Epoch 213 | T-Loss: 0.1175 | V-Loss: 0.1180 | V-P@R0.9: 0.3818
